*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Nov 11 14:21:47 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-10 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Nov-17 00:00:00.0000 TDB
Step-size       : 4 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000,  1.001242831608501E+08,  1.092054105573679E+08, -7.379866093955934E+03, -2.242879511584016E+01,  2.002181520338523E+01, -5.085990505531157E-04,  4.942007761838606E+02,  1.481576654376674E+08, -3.994155808100365E-01,
2460989.502777778, A.D. 2025-Nov-10 00:04:00.0000,  1.001189001320105E+08,  1.092102156656373E+08, -7.379988073289394E+03, -2.242977854010602E+01,  2.002075369985941E+01, -5.078955023414267E-04,  4.942004564369890E+02,  1.481575695799668E+08, -3.993985910354244E-01,
2460989.505555556, A.D. 2025-Nov-10 00:08:00.0000,  1.001135168671545E+08,  1.092150205191397E+08, -7.380109883815050E+03, -2.243076191882722E+01,  2.001969214457920E+01, -5.071922928880923E-04,  4.942001367037174E+02,  1.481574737263435E+08, -3.993816046885161E-01,
2460989.508333333, A.D. 2025-Nov-10 00:12:00.0000,  1.001081333662931E+08,  1.092198251178626E+08, -7.380231525622308E+03, -2.243174525199837E+01,  2.001863053754369E+01, -5.064894224204863E-04,  4.941998169840429E+02,  1.481573778767964E+08, -3.993646217695153E-01,
2460989.511111111, A.D. 2025-Nov-10 00:16:00.0000,  1.001027496294372E+08,  1.092246294617935E+08, -7.380352998763323E+03, -2.243272853961407E+01,  2.001756887875194E+01, -5.057868911695351E-04,  4.941994972779627E+02,  1.481572820313247E+08, -3.993476422786348E-01,
2460989.513888889, A.D. 2025-Nov-10 00:20:00.0000,  1.000973656565977E+08,  1.092294335509202E+08, -7.380474303357303E+03, -2.243371178166892E+01,  2.001650716820303E+01, -5.050846993635005E-04,  4.941991775854741E+02,  1.481571861899278E+08, -3.993306662160651E-01,
2460989.516666667, A.D. 2025-Nov-10 00:24:00.0000,  1.000919814477856E+08,  1.092342373852302E+08, -7.380595439448953E+03, -2.243469497815751E+01,  2.001544540589605E+01, -5.043828472350853E-04,  4.941988579065743E+02,  1.481570903526047E+08, -3.993136935820128E-01,
2460989.519444444, A.D. 2025-Nov-10 00:28:00.0000,  1.000865970030119E+08,  1.092390409647109E+08, -7.380716407135129E+03, -2.243567812907446E+01,  2.001438359183005E+01, -5.036813350054459E-04,  4.941985382412607E+02,  1.481569945193546E+08, -3.992967243766878E-01,
2460989.522222222, A.D. 2025-Nov-10 00:32:00.0000,  1.000812123222873E+08,  1.092438442893501E+08, -7.380837206505239E+03, -2.243666123441435E+01,  2.001332172600414E+01, -5.029801629090613E-04,  4.941982185895307E+02,  1.481568986901767E+08, -3.992797586002709E-01,
2460989.525000000, A.D. 2025-Nov-10 00:36:00.0000,  1.000758274056230E+08,  1.092486473591353E+08, -7.380957837633789E+03, -2.243764429417178E+01,  2.001225980841739E+01, -5.022793311679763E-04,  4.941978989513812E+02,  1.481568028650702E+08, -3.992627962529686E-01,
